symbol,reason
MYROUSDT,low volume: 112867
AUSDT,low volume: 8082
CELOUSDT,low volume: 6264
ACSUSDT,low volume: 209566
USDTEUR,low volume: 5540
MKRUSDT,low volume: 3
GMXUSDT,low volume: 45
TRXUSDT,low volume: 246976
ZKJUSDT,low volume: 68343
ORDERUSDT,low volume: 28524
STARUSDT,low volume: 173936
B3TRUSDT,low volume: 1371
WLDUSDT,low volume: 58782
SHRAPUSDT,low volume: 287966
PIXFIUSDT,low volume: 497763
TIAUSDT,low volume: 22555
SFUNDUSDT,low volume: 172
SUNDOGUSDT,low volume: 42535
ZETAUSDT,low volume: 32229
SQTUSDT,low volume: 452437
TIMEUSDT,low volume: 27
ROSEUSDT,low volume: 12184
LLUSDT,low volume: 19642
MOVRUSDT,low volume: 66
ZRXUSDT,low volume: 909
OIKUSDT,low volume: 1439
QTUMUSDT,low volume: 327
DGBUSDT,low volume: 20444
BBQUSDT,low volume: 156155
MAGICUSDT,low volume: 40504
ETHUSDT,low volume: 578
AIOZUSDT,low volume: 8930
TRUMPUSDT,low volume: 8382
XAIUSDT,low volume: 37894
MIXUSDT,low volume: 15029
MANAUSDT,low volume: 3608
SLPUSDT,low volume: 152837
SOSOUSDT,low volume: 6407
BERAUSDT,low volume: 3419
ZEXUSDT,low volume: 12833
JASMYUSDT,low volume: 481292
JEFFUSDT,low volume: 272750
ENJUSDT,low volume: 7837
WAVESUSDT,low volume: 1682
GSTUSDT,low volume: 33156
VIRTUALUSDT,low volume: 52448
MBXUSDT,low volume: 1624
ZILUSDT,low volume: 17581
JTOUSDT,low volume: 8759
MEUSDT,low volume: 1432
USDCUSDT,low volume: 280180
TNSRUSDT,low volume: 38712
USDTPLN,low volume: 1089
ELXUSDT,low volume: 301362
UMAUSDT,low volume: 191
USDDUSDT,low volume: 382
AURORAUSDT,low volume: 23254
JUSDT,low volume: 5491
HYPERUSDT,low volume: 33126
MASKUSDT,low volume: 2068
LAYERUSDT,low volume: 3275
PPTUSDT,low volume: 62272
USDTBRL,low volume: 7125
EVERUSDT,low volume: 30252
KDAUSDT,low volume: 1144
SPECUSDT,low volume: 31143
BEAMUSDT,low volume: 349665
DOTUSDT,low volume: 7001
XARUSDT,low volume: 208327
ETHWUSDT,low volume: 181
DAIUSDT,low volume: 1804
ELDEUSDT,low volume: 133890
BATUSDT,low volume: 2115
JUPUSDT,low volume: 30615
MOVEUSDT,low volume: 143202
TAIKOUSDT,low volume: 8808
NSUSDT,low volume: 5142
LOOKSUSDT,low volume: 68819
OLUSDT,low volume: 116312
NEARUSDT,low volume: 27116
MINAUSDT,low volume: 10668
MONUSDT,low volume: 34763
1INCHUSDT,low volume: 3205
ULTIUSDT,low volume: 261762
ZROUSDT,low volume: 9406
CSPRUSDT,low volume: 85184
MAVIAUSDT,low volume: 11574
GODSUSDT,low volume: 629
KCSUSDT,low volume: 41
BELUSDT,low volume: 1763
ARUSDT,low volume: 1882
PBUXUSDT,low volume: 92360
FHEUSDT,low volume: 9574
XTZUSDT,low volume: 667
PRIMEUSDT,low volume: 856
ASRRUSDT,low volume: 10065
VPADUSDT,low volume: 118490
COTUSDT,low volume: 198756
FIREUSDT,low volume: 112059
PUFFUSDT,low volume: 2711
INTERUSDT,low volume: 220
XLMUSDT,low volume: 38017
CRVUSDT,low volume: 35825
RPLUSDT,low volume: 93
AFGUSDT,low volume: 114592
ESEUSDT,low volume: 128817
FILUSDT,low volume: 4117
XAVAUSDT,low volume: 556
BMTUSDT,low volume: 53772
IZIUSDT,low volume: 65329
KUBUSDT,low volume: 275
CITYUSDT,low volume: 156
RENDERUSDT,low volume: 4829
HOMEUSDT,low volume: 359940
IMXUSDT,low volume: 2575
SIDUSUSDT,low volume: 360606
GENEUSDT,low volume: 4190
PYUSDUSDT,low volume: 1259
BOBAUSDT,low volume: 14186
PYTHUSDT,low volume: 60177
MANTAUSDT,low volume: 27062
COOKIEUSDT,low volume: 43693
RDNTUSDT,low volume: 15654
KASTAUSDT,low volume: 24953
CATIUSDT,low volume: 45969
FTTUSDT,low volume: 745
USDEUSDT,low volume: 99613
NEONUSDT,low volume: 948
PUFFERUSDT,low volume: 21700
TONUSDT,low volume: 8321
ETH3LUSDT,low volume: 0
SWEATUSDT,low volume: 388896
APEXUSDT,low volume: 98967
CAPSUSDT,low volume: 287049
EXVGUSDT,low volume: 256965
PORT3USDT,low volume: 59589
LUCEUSDT,low volume: 50413
FIDAUSDT,low volume: 3226
THNUSDT,low volume: 313917
GOATUSDT,low volume: 133899
FLOWUSDT,low volume: 885
WOOUSDT,low volume: 14586
HNTUSDT,low volume: 1023
ZRCUSDT,low volume: 23504
NXPCUSDT,low volume: 9024
CPOOLUSDT,low volume: 18166
BANUSDT,low volume: 6215
ZEREBROUSDT,low volume: 133826
OMNIUSDT,low volume: 1314
ARTYUSDT,low volume: 2257
AMIUSDT,low volume: 4912
SCAUSDT,low volume: 17883
RVNUSDT,low volume: 342640
SMILEUSDT,low volume: 15388
PORTALUSDT,low volume: 476751
FMCUSDT,low volume: 359025
SUSDT,low volume: 40027
SENDUSDT,low volume: 92
DOGEUSDT,low volume: 459768
GAMEUSDT,low volume: 197987
OBTUSDT,low volume: 61925
ORTUSDT,low volume: 73280
COREUSDT,low volume: 9577
SPXUSDT,low volume: 72214
CARVUSDT,low volume: 4174
SXTUSDT,low volume: 86814
SAHARAUSDT,low volume: 213011
AVAUSDT,low volume: 794
CHZUSDT,low volume: 13903
STOPUSDT,low volume: 27138
PONKEUSDT,low volume: 61208
NEXOUSDT,low volume: 811
IOUSDT,low volume: 10055
VTHOUSDT,low volume: 177252
NAVXUSDT,low volume: 26629
WAXPUSDT,low volume: 40740
CAKEUSDT,low volume: 324
RUNEUSDT,low volume: 956
FLUIDUSDT,low volume: 326
NIBIUSDT,low volume: 6843
RSS3USDT,low volume: 8335
ONDOUSDT,low volume: 35247
POPCATUSDT,low volume: 174199
LINKUSDT,low volume: 7182
PSGUSDT,low volume: 147
LAUSDT,low volume: 63481
ANIMEUSDT,low volume: 453902
LUNAIUSDT,low volume: 19888
DRIFTUSDT,low volume: 11529
JUVUSDT,low volume: 165
G7USDT,low volume: 76321
LTCUSDT,low volume: 451
BDXNUSDT,low volume: 390113
GSWIFTUSDT,low volume: 229365
MSTARUSDT,low volume: 290726
CLOUDUSDT,low volume: 66910
5IREUSDT,low volume: 98471
STRKUSDT,low volume: 73931
PRCLUSDT,low volume: 5361
NYMUSDT,low volume: 10905
SSVUSDT,low volume: 149
AVLUSDT,low volume: 11890
APEUSDT,low volume: 8554
QNTUSDT,low volume: 57
BICOUSDT,low volume: 9362
MBOXUSDT,low volume: 3673
OMUSDT,low volume: 15447
SCUSDT,low volume: 90310
NAKAUSDT,low volume: 1202
ZENTUSDT,low volume: 28315
TWTUSDT,low volume: 1558
SONICUSDT,low volume: 18290
DOODUSDT,low volume: 420404
TOKENUSDT,low volume: 179004
XCADUSDT,low volume: 12800
GUSDT,low volume: 47636
HAEDALUSDT,low volume: 51893
AGIUSDT,low volume: 7193
SDUSDT,low volume: 714
DYDXUSDT,low volume: 8834
MILKUSDT,low volume: 169977
PNUTUSDT,low volume: 34255
L3USDT,low volume: 8810
BTCUSDT,low volume: 28
PLUMEUSDT,low volume: 104477
GALFTUSDT,low volume: 153
USDQUSDT,low volume: 11
KILOUSDT,low volume: 20504
ETH3SUSDT,low volume: 0
STXUSDT,low volume: 9315
